Year,Age 10-14 Years,Age 15-19 Years,Age 20-24 Years,Age 25-29 Years,Age 30-34 Years,Age 35-39 Years,Age 40-44 Years,Age 45-49 Years,,,,
1946,0.7,59.3,181.8,161.2,108.9,58.7,16.5,1.5,,,,
1947,0.9,79.3,209.7,176,111.9,58.9,16.6,1.4,,,,
1948,1,81.8,200.3,163.4,103.7,54.5,15.7,1.3,,,,
1949,1,83.4,200.1,165.4,102.1,53.5,15.3,1.3,,,,
1950,1,81.6,196.6,166.1,103.7,52.9,15.1,1.2,,,,
1951,0.9,87.6,211.6,175.3,107.9,54.1,15.4,1.1,,,,
1952,0.9,86.1,217.6,182,112.6,55.8,15.5,1.3,,,,
1953,1,88.2,224.6,184.1,113.4,56.6,15.8,1,,,,
1954,0.9,90.6,236.2,188.4,116.9,57.9,16.2,1,,,,
1955,0.9,90.3,242,190.5,116.2,58.7,16.1,1,,,,
1956,1,94.6,253.7,194.7,117.3,59.3,16.3,1,,,,
1957,1,96.3,260.6,199.4,118.9,59.9,16.3,1.1,,,,
1958,0.9,91.4,258.2,198.3,116.2,58.3,15.7,0.9,,,,
1959,0.9,89.1,257.5,198.6,114.4,57.3,15.3,0.9,,,,
1960,0.8,89.1,258.1,197.4,112.7,56.2,15.5,0.9,,,,
1961,0.9,88.6,251.9,197.5,113.2,55.6,15.6,0.9,,,,
1962,0.8,81.4,241.9,191.1,108.6,52.6,14.9,0.9,,,,
1963,0.9,76.7,229.1,185.1,105.8,51.2,14.2,0.9,,,,
1964,0.9,73.1,217.5,178.7,103.4,49.9,13.8,0.8,,,,
1965,0.8,70.5,195.3,161.6,94.4,46.2,12.8,0.8,,,,
1966,0.8,70.3,185.6,148.2,85.1,41.9,11.7,0.7,,,,
1967,0.9,67.5,172.9,142.1,78.7,38.3,10.6,0.7,,,,
1968,1,65.6,166.5,140,74.2,35.4,9.6,0.6,,,,
1969,1,65.5,165.7,143,73.5,33.1,8.8,0.5,,,,
1970,1.2,68.3,167.8,145.1,73.3,31.7,8.1,0.5,,,,
1971,1.1,64.5,150.1,134.1,67.3,28.7,7.1,0.4,,,,
1972,1.2,61.7,130.2,117.7,59.8,24.8,6.2,0.4,,,,
1973,1.2,59.3,119.7,112.2,55.6,22.1,5.4,0.3,,,,
1974,1.2,57.5,117.7,111.5,53.8,20.2,4.8,0.3,,,,
1975,1.3,55.6,113,108.2,52.3,19.5,4.6,0.3,,,,
1976,1.2,52.8,110.3,106.2,53.6,19,4.3,0.2,,,,
1977,1.2,52.8,112.9,111,56.4,19.2,4.2,0.2,,,,
1978,1.2,51.5,109.9,108.5,57.8,19,3.9,0.2,,,,
1979,1.2,52.3,112.8,111.4,60.3,19.5,3.9,0.2,,,,
1980,1.1,53,115.1,112.9,61.9,19.8,3.9,0.2,,,,
1981,1.1,52.2,112.2,111.5,61.4,20,3.8,0.2,,,,
1982,1.1,52.4,111.6,111,64.1,21.2,3.9,0.2,,,,
1983,1.1,51.4,107.8,108.5,64.9,22,3.9,0.2,,,,
1984,1.2,50.6,106.8,108.7,67,22.9,3.9,0.2,,,,
1985,1.2,51,108.3,111,69.1,24,4,0.2,,,,
1986,1.3,50.2,107.4,109.8,70.1,24.4,4.1,0.2,,,,
1987,1.3,50.6,107.9,111.6,72.1,26.3,4.4,0.2,,,,
1988,1.3,53,110.2,114.4,74.8,28.1,4.8,0.2,,,,
1989,1.4,57.3,113.8,117.6,77.4,29.9,5.2,0.2,,,,
1990,1.4,59.9,116.5,120.2,80.8,31.7,5.5,0.2,,,,
1991,1.4,61.8,115.3,117.2,79.2,31.9,5.5,0.2,,,,
1992,1.4,60.3,113.7,115.7,79.6,32.3,5.9,0.3,,,,
1993,1.4,59,111.3,113.2,79.9,32.7,6.1,0.3,,,,
1994,1.4,58.2,109.2,111,80.4,33.4,6.4,0.3,,,,
1995,1.3,56,107.5,108.8,81.1,34,6.6,0.3,,,,
1996,1.2,53.5,107.8,108.6,82.1,34.9,6.8,0.3,,,,
1997,1.1,51.3,107.3,108.3,83,35.7,7.1,0.4,,,,
1998,1,50.3,108.4,110.2,85.2,36.9,7.4,0.4,,,,
1999,0.9,48.8,107.9,111.2,87.1,37.8,7.4,0.4,,,,
2000,0.9,47.7,109.7,113.5,91.2,39.7,8,0.5,,,,
2001,0.8,45,105.6,113.8,91.8,40.5,8.1,0.5,,,,
2002,0.7,42.6,103.1,114.7,92.6,41.6,8.3,0.5,,,,
2003,0.6,41.1,102.3,116.7,95.7,43.9,8.7,0.5,,,,
2004,0.6,40.5,101.5,116.5,96.2,45.5,9,0.5,,,,
2005,0.6,39.7,101.8,116.5,96.7,46.4,9.1,0.6,,,,
2006,0.6,41.1,105.5,118,98.9,47.5,9.4,0.6,,,,
2007,0.6,41.5,105.4,118.1,100.6,47.6,9.6,0.6,,,,
2008,0.6,40.2,101.8,115,99.4,46.8,9.9,0.7,,,,
2009,0.5,37.9,96.2,111.5,97.5,46.1,10,0.7,,,,
2010,0.4,34.2,90,108.3,96.5,45.9,10.2,0.7,,,,
2011,0.4,31.3,85.3,107.2,96.5,47.2,10.3,0.7,,,,
2012,0.4,29.4,83.1,106.5,97.3,48.3,10.4,0.7,,,,
2013,0.3,26.5,80.7,105.5,98,49.3,10.4,0.8,,,,
2014,0.3,24.2,79,105.8,100.8,51,10.6,0.8,,,,
2015,0.2,22.3,76.8,104.3,101.5,51.8,11,0.8,,,,
2016,0.2,20.3,73.8,102.1,102.7,52.7,11.4,0.9,,,,
2017,0.2,18.8,71,98,100.3,52.3,11.6,0.9,,,,
2018,0.2,17.4,68,95.3,99.7,52.6,11.8,0.9,,,,
