City,Country,lat,lng,temp,max temp,humidity,cloud,wind speed
Yellowknife,CA,62.46,-114.35,22.73,23.0,73,90,9.17
Vaini,TO,-21.2,-175.2,71.6,71.6,78,90,5.82
Xam Nua,LA,20.42,104.04,70.92,70.92,58,90,4.29
Cape Town,ZA,-33.93,18.42,59.5,63.0,67,0,13.87
Pindamonhangaba,BR,-22.92,-45.46,61.0,61.0,95,9,0.72
Hervey Bay,AU,-25.3,152.85,76.26,77.0,61,90,12.75
Rikitea,PF,-23.12,-134.97,73.89,73.89,77,21,9.89
Kralupy nad Vltavou,CZ,50.24,14.31,45.14,48.0,93,100,5.82
Hermanus,ZA,-34.42,19.23,61.0,61.0,69,0,4.0
Esperance,AU,-33.87,121.9,60.8,60.8,100,90,14.99
Bengkulu,ID,-3.8,102.27,85.01,85.01,67,91,8.01
Hobart,AU,-42.88,147.33,58.48,59.0,58,75,12.75
Óbidos,BR,-1.92,-55.52,75.74,75.74,88,100,3.83
Valdemārpils,LV,57.37,22.59,44.6,44.6,93,75,5.82
Khatanga,RU,71.97,102.5,5.72,5.72,95,81,7.61
Rio Grande,BR,-32.03,-52.1,62.01,62.01,85,98,5.01
Tasiilaq,GL,65.61,-37.64,32.0,32.0,97,97,11.41
Atuona,PF,-9.8,-139.03,77.7,77.7,75,8,18.05
Eureka,US,40.8,-124.16,51.01,51.01,100,0,10.49
Punta Arenas,CL,-53.15,-70.92,37.2,37.4,74,75,8.05
Ribeira Grande,PT,38.52,-28.7,62.6,62.6,59,40,9.17
Dikson,RU,73.51,80.55,23.97,23.97,97,98,5.66
Sitka,US,57.05,-135.33,37.4,37.4,86,75,5.82
Pisco,PE,-13.7,-76.22,62.33,62.6,82,43,9.17
Puerto Ayora,EC,-0.74,-90.35,68.0,68.0,94,70,7.0
Huanren,CN,41.26,125.37,55.74,55.74,68,97,9.24
East London,ZA,-33.02,27.91,66.2,66.2,42,0,6.93
Ancud,CL,-41.87,-73.82,36.73,39.99,86,0,4.7
Wanning,CN,18.8,110.4,78.62,78.62,70,69,15.61
Talnakh,RU,69.49,88.4,10.4,10.4,85,100,8.95
Bathsheba,BB,13.22,-59.52,80.6,80.6,78,40,5.82
Mataura,NZ,-46.19,168.86,54.0,54.0,68,95,8.01
Saint Anthony,US,45.02,-93.22,33.08,34.0,100,90,6.93
Lebyazh'ye,RU,55.27,66.49,41.83,41.83,67,100,5.93
Saint-Pierre,RE,-21.34,55.48,79.34,82.4,54,20,23.04
Codrington,AU,-38.27,141.97,56.43,56.43,75,19,10.4
Diffa,NE,13.32,12.61,86.79,86.79,20,0,8.97
Busselton,AU,-33.65,115.33,62.01,62.01,81,2,5.99
Port Elizabeth,ZA,-33.92,25.57,62.6,62.6,63,0,6.93
Vao,NC,-22.67,167.48,73.2,73.2,85,4,13.11
Barrow,US,71.29,-156.79,30.2,30.2,86,90,16.11
Nemuro,JP,43.32,145.57,55.4,55.4,71,20,12.75
Moose Factory,CA,51.26,-80.61,28.4,28.4,74,1,3.36
Biabou,VC,13.2,-61.13,75.2,75.2,94,20,9.01
Avarua,CK,-21.21,-159.78,73.4,73.4,88,100,9.17
Mahébourg,MU,-20.41,57.7,80.6,80.6,65,75,14.99
Vallenar,CL,-28.57,-70.76,54.75,54.75,64,0,3.27
Albany,US,42.6,-73.97,49.17,50.0,85,94,2.19
Ushuaia,AR,-54.8,-68.3,39.2,39.2,80,20,12.75
Coquimbo,CL,-29.95,-71.34,53.6,53.6,93,0,3.06
Uspenka,UA,48.39,39.16,47.98,47.98,54,0,7.4
Kapaa,US,22.08,-159.32,74.73,77.0,83,75,4.7
São Filipe,CV,14.9,-24.5,81.61,81.61,72,54,4.36
Zhifang,CN,30.35,114.32,69.8,69.8,60,76,6.71
Sept-Îles,CA,50.2,-66.38,34.48,35.01,80,5,5.82
Bluff,NZ,-46.6,168.33,54.0,54.0,68,43,8.01
Hilo,US,19.73,-155.09,71.58,75.2,73,1,3.36
Skibbereen,IE,51.55,-9.27,44.6,44.6,100,75,6.93
Provideniya,RU,64.38,-173.3,42.8,42.8,87,75,8.95
Sioux Lookout,CA,50.1,-91.92,28.4,28.4,92,90,3.36
Tilichiki,RU,60.47,166.1,37.71,37.71,99,100,7.76
Saldanha,ZA,-33.01,17.94,53.6,53.6,76,0,5.82
Hasaki,JP,35.73,140.83,64.92,66.2,59,20,12.75
Saint Paul Harbor,US,57.79,-152.41,39.2,39.2,60,1,6.93
Xichang,CN,27.9,102.26,49.37,49.37,79,100,3.22
Rosarito,MX,32.33,-117.03,64.6,64.99,77,90,4.07
Nadvoitsy,RU,63.87,34.32,27.41,27.41,98,31,6.29
Bria,CF,6.54,21.99,73.67,73.67,89,97,3.69
Ixtapa,MX,20.7,-105.2,82.99,82.99,90,82,1.43
Lorengau,PG,-2.02,147.27,83.86,83.86,70,99,3.65
Meulaboh,ID,4.14,96.13,86.76,86.76,60,98,7.99
Tuktoyaktuk,CA,69.45,-133.04,20.86,20.86,96,100,13.98
Ilulissat,GL,69.22,-51.1,33.8,33.8,80,100,9.17
Tura,IN,25.52,90.22,82.92,82.92,79,52,1.19
Constitución,CL,-35.33,-72.42,49.87,49.87,75,34,8.95
Pulo,PH,15.25,120.93,78.8,78.8,94,90,11.41
Port Alfred,ZA,-33.59,26.89,64.63,64.63,50,0,3.67
Qaanaaq,GL,77.48,-69.36,20.05,20.05,82,97,5.86
Ratne,UA,51.67,24.53,46.4,46.4,81,100,6.71
Bredasdorp,ZA,-34.53,20.04,57.2,57.2,71,0,1.12
Thompson,CA,55.74,-97.86,23.0,23.0,85,90,2.24
Kaitangata,NZ,-46.28,169.85,54.0,54.0,65,98,1.99
Tanabe,JP,33.73,135.37,73.4,73.4,53,75,11.41
Mbamba,NG,9.98,13.1,79.02,79.02,48,0,2.75
Gōtsuchō,JP,35.0,132.22,69.8,69.8,64,75,4.7
Ostrovnoy,RU,68.05,39.51,36.36,36.36,81,100,10.69
Bambous Virieux,MU,-20.34,57.76,80.78,81.0,65,75,14.99
Riyadh,SA,24.69,46.72,80.6,80.6,14,0,6.93
Beyneu,KZ,45.32,55.2,56.53,56.53,49,100,13.42
Marsala,IT,37.8,12.44,63.86,69.01,82,20,9.17
Iranshahr,IR,27.2,60.68,77.0,77.0,7,0,6.93
Atar,MR,20.52,-13.05,81.7,81.7,31,85,7.43
Ben Gardane,TN,33.14,11.22,65.97,65.97,58,0,9.86
Gravdal,NO,68.12,13.5,37.4,37.4,59,20,10.29
Araouane,ML,18.9,-3.53,80.46,80.46,21,0,10.4
Itarema,BR,-2.92,-39.92,78.66,78.66,74,79,14.18
Iqaluit,CA,63.75,-68.51,32.0,32.0,96,90,5.82
Clyde River,CA,70.47,-68.59,28.4,28.4,79,90,12.75
Tumut,AU,-35.3,148.22,68.63,68.63,71,59,2.48
Jamestown,US,42.1,-79.24,55.4,57.0,100,90,5.82
Lompoc,US,34.64,-120.46,55.96,57.2,93,90,3.36
Kavaratti,IN,10.57,72.64,86.0,86.0,70,40,5.82
Isangel,VU,-19.55,169.27,78.8,78.8,78,75,9.17
Chokurdakh,RU,70.63,147.92,9.18,9.18,94,98,6.69
Sørland,NO,67.67,12.69,39.87,41.0,60,75,25.28
Bairiki Village,KI,1.33,172.98,82.4,82.4,74,40,8.05
Nikolskoye,RU,59.7,30.79,30.42,30.99,100,90,6.71
Saskylakh,RU,71.92,114.08,16.34,16.34,96,71,5.91
Isla Mujeres,MX,21.23,-86.73,78.39,78.8,88,20,8.05
Kenai,US,60.55,-151.26,30.78,39.99,86,1,4.38
Candelaria,PH,13.93,121.42,84.0,84.0,79,100,5.35
Geraldton,AU,-28.77,114.6,69.8,69.8,64,75,20.8
San Cristobal,VE,7.77,-72.22,65.14,65.14,90,100,1.77
Longyearbyen,SJ,78.22,15.64,26.6,26.6,68,75,9.17
Palmer,US,42.16,-72.33,56.43,57.0,95,81,1.97
Carnarvon,AU,-24.87,113.63,75.2,75.2,57,40,21.92
Arraial do Cabo,BR,-22.97,-42.03,71.71,71.71,90,9,14.41
Banda Aceh,ID,5.56,95.32,87.71,87.71,56,5,14.99
Ilhabela,BR,-23.78,-45.36,69.93,69.93,86,2,1.14
Loikaw,MM,19.67,97.21,79.07,79.07,64,65,5.26
Daru,PG,-9.08,143.21,81.36,81.36,75,1,12.01
Kutum,SD,14.2,24.67,81.28,81.28,15,16,21.21
San Quintín,MX,30.48,-115.95,65.55,65.55,89,89,10.27
Gazojak,TM,41.19,61.4,68.29,68.29,38,77,7.58
Boden,SE,65.83,21.69,28.4,28.4,92,75,10.29
Mehamn,NO,71.04,27.85,32.0,32.0,86,40,8.05
Broome,US,42.25,-75.83,49.28,51.01,100,90,5.82
Butaritari,KI,3.07,172.79,82.08,82.08,75,71,7.4
Ucluelet,CA,48.93,-125.55,50.0,50.0,83,87,1.99
Brae,GB,60.4,-1.35,46.4,46.4,93,75,31.09
Norman Wells,CA,65.28,-126.83,23.0,23.0,85,90,13.87
Linguère,SN,15.4,-15.12,78.98,78.98,24,24,4.83
George Town,MY,5.41,100.34,88.45,89.6,59,40,6.93
Sur,OM,22.57,59.53,85.73,85.73,38,0,11.72
Lebu,CL,-37.62,-73.65,47.17,47.17,87,2,15.77
Dingle,PH,11.0,122.67,83.35,83.35,81,94,14.88
Genhe,CN,50.78,121.52,28.89,28.89,96,100,11.3
Borogontsy,RU,62.67,131.17,19.38,19.38,97,100,2.73
Caravelas,BR,-17.71,-39.25,71.55,71.55,96,96,2.71
Juneau,US,58.3,-134.42,33.42,33.8,55,20,5.82
Mar del Plata,AR,-38.0,-57.56,44.49,52.0,93,0,6.38
La Asuncion,VE,11.03,-63.86,69.8,69.8,100,29,5.82
New Norfolk,AU,-42.78,147.06,57.49,59.0,60,100,1.99
Salalah,OM,17.02,54.09,87.8,87.8,62,0,5.82
Port-Cartier,CA,50.03,-66.87,34.45,35.01,80,5,5.82
Yulara,AU,-25.24,130.99,100.4,100.4,10,0,19.46
Makkah al Mukarramah,SA,21.43,39.83,94.12,94.12,10,0,2.04
Pacific Grove,US,36.62,-121.92,51.82,53.6,100,90,3.49
Lavrentiya,RU,65.58,-171.0,37.65,37.65,89,14,8.32
Kiryat Gat,IL,31.61,34.76,79.38,80.01,25,0,3.0
Kruisfontein,ZA,-34.0,24.73,66.0,66.0,53,0,1.99
Carballo,ES,43.21,-8.69,54.32,57.0,100,20,6.93
Upernavik,GL,72.79,-56.15,31.23,31.23,99,100,11.63
Grand Gaube,MU,-20.01,57.66,81.0,81.0,59,0,14.0
Pedernales,DO,18.04,-71.74,79.39,79.39,69,100,2.01
New Smyrna Beach,US,29.03,-80.93,78.76,80.01,88,75,6.93
Castro,BR,-24.79,-50.01,60.82,60.82,96,95,8.63
Lake Charles,US,30.21,-93.2,68.11,69.8,100,1,4.7
Tiksi,RU,71.69,128.87,8.15,8.15,92,89,8.1
Severo-Kuril'sk,RU,50.68,156.12,41.25,41.25,70,48,24.63
Yumen,CN,40.28,97.2,66.34,66.34,20,0,16.44
Narsaq,GL,60.92,-46.05,32.0,32.0,90,100,2.35
Hokitika,NZ,-42.72,170.97,49.3,49.3,75,4,6.06
Lewistown,US,40.6,-77.57,56.41,57.99,100,75,2.24
Stokmarknes,NO,68.56,14.91,37.4,37.4,47,33,13.87
Erdenet,MN,49.03,104.08,35.87,35.87,66,0,7.14
Mossamedes,AO,-15.2,12.15,69.82,69.82,84,92,8.48
Vila Velha,BR,-20.33,-40.29,68.0,68.0,94,40,5.82
Hobyo,SO,5.35,48.53,83.88,83.88,69,1,7.58
Faanui,PF,-16.48,-151.75,78.96,78.96,79,0,13.87
Gambo,CF,4.65,22.26,71.51,71.51,97,100,2.82
Cap Malheureux,MU,-19.98,57.61,81.0,81.0,59,0,14.0
Torbay,CA,47.67,-52.73,59.76,61.0,87,75,20.8
Two Hills,CA,53.72,-111.75,21.38,21.38,90,86,1.39
Batemans Bay,AU,-35.72,150.18,66.54,68.0,61,100,12.26
Cidreira,BR,-30.18,-50.21,66.85,66.85,94,44,13.91
Liverpool,GB,53.41,-2.98,56.26,57.2,93,40,6.93
Rawson,AR,-43.3,-65.1,50.0,50.0,76,75,5.82
Abu Samrah,SY,35.3,37.18,78.08,78.08,25,0,3.58
Half Moon Bay,US,37.46,-122.43,60.37,62.6,63,1,2.35
Sangar,RU,63.92,127.47,19.78,19.78,96,100,4.27
Salinópolis,BR,-0.61,-47.36,78.93,78.93,84,2,11.39
Rota,ES,36.62,-6.36,65.52,66.2,82,40,11.41
Manhuaçu,BR,-20.26,-42.03,62.44,62.44,94,61,0.89
Tonstad,NO,58.66,6.72,52.36,53.01,96,99,1.99
Kuah,MY,6.33,99.84,91.4,91.4,66,40,5.82
Cabedelo,BR,-6.98,-34.83,73.4,73.4,100,75,5.82
Paramirim,BR,-13.44,-42.24,69.85,69.85,78,51,4.61
Kristinestad,FI,62.27,21.38,37.36,37.36,92,100,16.71
Namatanai,PG,-3.67,152.43,82.2,82.2,74,69,2.66
Yeppoon,AU,-23.13,150.73,73.85,73.85,77,81,13.44
Biak,ID,-0.91,122.88,83.57,83.57,63,20,9.46
Beringovskiy,RU,63.05,179.32,40.28,40.28,83,68,12.95
Kigoma,TZ,-4.88,29.63,71.6,71.6,88,75,10.2
Hengyang,CN,26.89,112.61,67.75,67.75,62,45,7.54
The Valley,AI,18.22,-63.06,80.44,82.4,74,20,4.7
Jining,CN,35.41,116.58,68.7,68.7,22,0,13.06
Buin,CL,-33.73,-70.75,58.46,60.01,58,0,3.36
Muroto-misakicho,JP,33.28,134.15,75.2,75.2,57,20,17.22
Aklavik,CA,68.22,-135.01,21.2,21.2,92,75,11.41
Toamasina,MG,-18.17,49.38,80.6,80.6,65,40,8.05
Kaeo,NZ,-35.1,173.78,63.0,63.0,78,88,3.51
Kumul,CN,42.8,93.45,68.32,68.32,21,0,4.81
Forsytheganj,BY,52.63,29.73,44.55,44.55,76,100,12.17
Agde,FR,43.31,3.48,61.66,62.6,88,90,24.16
Chui,UY,-33.7,-53.46,56.82,56.82,75,67,12.12
Crib Point,AU,-38.35,145.2,57.02,57.99,72,32,10.16
Udachny,RU,66.42,112.4,8.6,8.6,84,90,2.24
Rāwatbhāta,IN,24.93,75.58,89.6,89.6,29,40,1.12
San Patricio,US,28.02,-97.52,75.13,79.0,94,20,5.82
Rome,US,43.21,-75.46,49.1,51.01,93,90,6.93
Ponta do Sol,PT,32.67,-17.1,60.08,62.6,82,20,2.24
Española,US,35.99,-106.08,53.6,59.0,14,1,3.36
Taltal,CL,-25.4,-70.48,56.53,56.53,76,59,1.59
Cabo San Lucas,MX,22.89,-109.91,78.01,78.01,69,0,1.01
Evensk,RU,61.95,159.23,32.16,32.16,93,4,3.71
Hyères,FR,43.12,6.12,60.67,64.4,77,20,16.11
Huarmey,PE,-10.07,-78.15,63.36,63.36,81,44,7.0
Itoman,JP,26.12,127.67,82.98,84.2,70,90,19.46
Bubaque,GW,11.28,-15.83,81.73,81.73,80,95,9.08
Cherskiy,RU,68.75,161.3,19.47,19.47,97,79,2.55
Xai-Xai,MZ,-25.05,33.64,71.29,71.29,77,100,16.67
Lālmohan,BD,22.34,90.74,80.44,80.44,86,100,6.51
Timmins,CA,48.47,-81.33,32.0,32.0,94,90,9.17
Warrington,GB,53.39,-2.58,56.59,57.2,93,40,6.93
Touros,BR,-5.2,-35.46,73.4,73.4,94,75,4.7
Kirakira,SB,-10.45,161.92,81.55,81.55,73,33,5.39
Coyhaique,CL,-45.58,-72.07,34.48,34.48,88,0,1.3
Deltona,US,28.9,-81.26,74.01,75.2,88,1,4.7
Igarka,RU,67.47,86.58,17.71,17.71,96,100,10.63
Sabaudia,IT,41.3,13.03,55.2,59.0,87,0,3.36
Voskevan,AM,41.12,45.07,59.0,59.0,82,75,3.51
Kysyl-Syr,RU,63.9,122.76,22.87,22.87,97,99,3.42
Roald,NO,62.58,6.13,40.71,41.0,86,75,16.11
Hong Kong,HK,22.29,114.16,80.74,82.0,59,70,4.0
Muros,ES,42.78,-9.06,55.53,55.99,92,4,3.0
Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.61,68.61,87,57,14.09
Gamba,GA,-2.65,10.0,78.44,78.44,83,100,4.43
Gizo Government Station,SB,-8.1,156.84,81.0,81.0,76,100,12.12
Egvekinot,RU,66.32,-179.17,31.8,31.8,99,61,5.75
Kalat,PK,29.02,66.59,65.55,65.55,17,0,4.94
Kiama,AU,-34.68,150.87,70.11,71.01,70,90,5.01
Morehead,US,37.27,-87.18,62.29,66.2,88,1,5.82
Sterling,US,39.01,-77.43,62.04,63.0,100,75,3.36
Kapoeta,SS,4.77,33.59,82.83,82.83,55,35,9.51
Ajdabiya,LY,30.76,20.23,69.3,69.3,56,0,6.55
Nangong,CN,37.36,115.37,66.29,66.29,22,0,6.96
Bilma,NE,18.69,12.92,83.95,83.95,14,0,5.35
Haines Junction,CA,60.75,-137.51,25.29,25.29,90,98,2.98
Bafilo,TG,9.35,1.27,69.8,69.8,94,20,1.12
Thinadhoo,MV,0.53,72.93,82.6,82.6,80,3,11.72
Manokwari,ID,-0.87,134.08,83.19,83.19,75,100,8.95
Te Anau,NZ,-45.42,167.72,45.93,45.93,74,20,4.25
Henties Bay,NA,-22.12,14.28,59.0,59.0,85,1,3.4
Porto-Novo,BJ,6.5,2.6,78.8,78.8,94,20,4.7
Florø,NO,61.6,5.03,44.6,44.6,93,75,1.12
Sungurlare,BG,42.77,26.78,56.41,60.01,71,20,9.17
Lüderitz,NA,-26.65,15.16,75.2,75.2,20,0,7.54
Tuatapere,NZ,-46.13,167.68,54.0,54.0,68,40,8.01
Gusau,NG,12.16,6.66,77.49,77.49,37,0,5.97
Vågåmo,NO,61.88,9.1,31.32,31.32,93,64,1.03
Praia,CV,14.92,-23.51,77.0,77.0,88,100,5.82
Kandrian,PG,-6.22,149.55,83.77,83.77,69,39,5.75
Korla,CN,41.76,86.15,67.15,67.15,23,0,11.86
Panama City,PA,8.99,-79.52,77.68,78.8,88,12,5.82
Deep River,CA,46.1,-77.5,38.08,39.2,86,1,3.36
Urubichá,BO,-15.38,-62.95,70.45,70.45,89,0,1.45
Kentau,KZ,43.52,68.51,65.16,65.16,24,0,7.92
Shelburne,CA,44.08,-80.2,42.93,43.0,93,90,9.17
Santa Maria da Vitória,BR,-13.39,-44.19,74.48,74.48,65,100,2.98
Kieta,PG,-6.22,155.63,81.93,81.93,74,100,3.74
Zhezkazgan,KZ,47.8,67.71,62.33,62.33,28,63,18.25
Águas Vermelhas,BR,-15.75,-41.46,64.58,64.58,95,100,2.98
Sechura,PE,-5.56,-80.82,64.67,64.67,79,85,9.42
Morwell,AU,-38.23,146.4,61.0,61.0,68,75,3.0
