City,Country,lat,lng,temp,max temp,humidity,cloud,wind speed
Dhārchula,IN,29.85,80.53,77.74,77.74,24,0,6.55
Vostok,RU,46.49,135.88,47.86,47.86,65,100,4.5
Loukhi,RU,66.08,33.04,29.23,29.23,98,50,3.62
Hofn,IS,64.25,-15.21,35.65,35.65,75,8,5.17
Catuday,PH,16.29,119.81,80.24,80.24,88,100,30.15
Chumikan,RU,54.72,135.31,39.51,39.51,72,100,8.1
Bethel,US,41.37,-73.41,59.27,60.01,100,90,3.36
Praia da Vitória,PT,38.73,-27.07,58.57,59.0,72,40,23.76
Deputatsky,RU,69.3,139.9,7.5,7.5,95,89,1.23
Umluj,SA,25.02,37.27,93.6,93.6,22,0,3.58
Pevek,RU,69.7,170.31,31.82,31.82,96,100,12.01
Dunedin,NZ,-45.87,170.5,52.11,53.01,65,100,1.01
Teguise,ES,29.06,-13.56,71.6,71.6,73,20,5.82
Dongning,CN,44.06,131.12,60.51,60.51,54,100,8.97
Edgewater,US,28.99,-80.9,76.53,78.8,88,75,6.93
Seymchan,RU,62.88,152.43,19.38,19.38,88,0,3.42
Westport,US,41.14,-73.36,61.12,62.6,100,90,4.7
Xining,CN,36.62,101.77,55.53,55.53,31,0,3.76
Nagorsk,RU,59.32,50.81,31.01,31.01,94,100,9.69
Los Llanos de Aridane,ES,28.66,-17.92,65.82,73.4,53,40,9.17
Kahului,US,20.89,-156.47,72.55,77.0,65,1,3.36
Woodward,US,36.43,-99.39,48.87,51.8,100,90,9.17
Grindavik,IS,63.84,-22.43,37.4,37.4,86,90,9.17
Santa Rosa,PH,14.31,121.11,87.39,87.8,66,75,6.93
Ust-Nera,RU,64.57,143.2,5.22,5.22,86,99,4.54
Flagstaff,US,35.2,-111.65,47.17,60.01,32,1,4.34
Saint-Philippe,RE,-21.36,55.77,78.71,82.4,54,20,23.04
Tautira,PF,-17.73,-149.15,78.39,78.8,74,40,4.7
Abu Kamal,SY,34.45,40.92,82.8,82.8,21,0,3.76
Makokou,GA,0.57,12.86,70.65,70.65,96,99,4.29
Bourail,NC,-21.57,165.48,74.43,74.43,72,39,4.92
Kabalo,CD,-6.05,26.92,73.02,73.02,87,97,2.04
Cockburn Town,TC,21.46,-71.14,80.92,80.92,80,89,16.51
Santa Luzia,BR,-19.77,-43.85,62.6,62.6,100,90,4.7
Dudinka,RU,69.41,86.18,10.4,10.4,85,100,8.95
Muravlenko,RU,63.79,74.52,28.54,28.54,98,40,15.59
Port Hedland,AU,-20.32,118.57,87.8,87.8,48,95,20.8
Bāfq,IR,31.61,55.41,75.11,75.11,14,0,0.67
Leningradskiy,RU,69.38,178.42,36.16,36.16,82,100,8.48
Ardakān,IR,32.31,54.02,66.2,66.2,11,0,6.93
San Andrés,CO,12.58,-81.7,77.0,77.0,94,40,2.24
Bundaberg,AU,-24.85,152.35,76.46,77.0,61,90,12.75
Ukiah,US,39.15,-123.21,61.95,66.0,48,1,2.44
Zheleznodorozhnyy,RU,55.75,38.0,36.09,37.0,74,75,6.71
Jatai,BR,-17.88,-51.71,67.08,67.08,86,62,2.44
Hatillo,PR,18.49,-66.83,73.54,75.0,89,84,3.69
Bolotnoye,RU,55.67,84.4,48.45,48.45,61,100,13.65
Karligan,PH,14.97,122.05,83.64,83.64,81,100,15.79
Ayagoz,KZ,47.97,80.44,63.52,63.52,24,0,8.19
Vassouras,BR,-22.4,-43.66,73.4,73.4,88,75,4.7
Esim,GH,4.87,-2.24,78.17,78.17,86,97,6.06
Marabba,SD,12.35,32.18,92.01,92.01,32,20,5.44
Kurya,RU,51.6,82.29,58.53,58.53,34,65,9.1
Moranbah,AU,-22.0,148.05,76.73,76.73,62,20,27.31
Biltine,TD,14.53,20.92,89.06,89.06,12,0,20.92
Naze,JP,28.37,129.48,80.6,80.6,74,75,13.87
Mugur-Aksy,RU,50.35,90.5,37.62,37.62,71,58,5.79
Medeiros Neto,BR,-17.37,-40.22,71.06,71.06,91,100,6.35
Farmington,US,36.73,-108.22,46.4,46.4,24,1,5.82
Severnyy,RU,50.68,36.55,37.4,37.4,67,100,4.47
Khovd,MN,48.01,91.64,41.31,41.31,58,2,3.98
Fort Nelson,CA,58.81,-122.7,15.8,15.8,66,40,6.93
Kasangulu,CD,-4.59,15.17,73.4,73.4,88,75,6.93
Vestmannaeyjar,IS,63.44,-20.27,37.4,37.4,69,100,2.24
Laje,BR,-10.18,-40.97,65.7,65.7,81,82,6.91
College,US,64.86,-147.8,21.04,21.99,85,90,1.12
Gushikawa,JP,26.35,127.87,82.26,82.4,69,75,19.46
Katakwi,UG,1.89,33.97,75.02,75.02,73,3,7.49
Maceió,BR,-9.67,-35.74,71.6,71.6,94,75,3.36
Sakakah,SA,29.97,40.21,75.2,75.2,13,0,7.52
Bida,NG,9.08,6.02,78.31,78.31,74,69,2.62
Saint George,US,37.1,-113.58,60.26,62.6,16,1,5.82
Igboho,NG,8.83,3.75,73.24,73.24,92,72,5.37
Arlit,NE,18.74,7.39,87.3,87.3,12,0,6.02
Srednekolymsk,RU,67.45,153.68,14.14,14.14,95,0,2.93
Bol,TD,13.46,14.71,85.68,85.68,35,0,19.39
Klaksvík,FO,62.23,-6.59,39.2,39.2,80,0,12.75
Yangi Marg`ilon,UZ,40.43,71.72,69.8,69.8,26,0,4.7
Saint-François,FR,46.42,3.91,63.77,64.4,55,100,27.51
Agüimes,ES,27.91,-15.45,72.03,73.4,69,40,2.24
Baishishan,CN,43.58,127.57,52.95,52.95,66,73,9.24
Adwa,ET,14.16,38.9,72.18,72.18,36,0,11.43
Nanning,CN,22.82,108.32,77.0,77.0,44,20,13.42
Mutoko,ZW,-17.4,32.23,80.73,80.73,35,0,12.3
Muzhi,RU,65.37,64.67,20.21,20.21,96,73,3.78
Katsuura,JP,35.13,140.3,67.91,70.0,59,20,13.87
Denpasar,ID,-8.65,115.22,86.0,86.0,70,40,17.22
Itaituba,BR,-4.28,-55.98,76.3,76.3,77,99,1.88
Belaya Gora,RU,68.53,146.42,8.89,8.89,93,96,3.2
Châtellerault,FR,46.8,0.53,66.09,66.2,59,45,27.51
Strezhevoy,RU,60.73,77.59,33.8,33.8,100,90,8.95
Nanortalik,GL,60.14,-45.24,33.87,33.87,90,100,12.8
Chumphon,TH,10.33,98.83,87.8,87.8,74,75,4.7
Poum,NC,-20.23,164.02,76.12,76.12,73,58,8.21
Broken Hill,AU,-31.95,141.43,80.6,80.6,20,0,6.93
Santiago del Estero,AR,-27.8,-64.26,63.27,63.27,82,100,7.49
Oranjemund,NA,-28.55,16.43,69.69,69.69,28,35,12.28
Kempsey,AU,-31.08,152.83,71.01,71.01,56,75,1.99
Bonavista,CA,48.65,-53.11,56.64,56.64,86,100,19.3
Elizabeth City,US,36.29,-76.25,63.66,66.2,100,1,3.36
Ketchikan,US,55.34,-131.65,39.9,41.0,100,90,3.36
Trat,TH,12.5,102.5,87.8,87.8,62,20,4.7
Natal,BR,-5.79,-35.21,73.4,73.4,94,75,4.7
Sabha,LY,27.04,14.43,69.15,69.15,62,56,13.51
Rocha,UY,-34.48,-54.33,50.23,50.23,84,2,7.25
Fuxin,CN,42.02,121.66,54.9,54.9,37,0,13.47
Assiniboia,CA,49.63,-105.98,14.97,14.97,96,0,5.41
Sola,VU,-13.88,167.55,78.8,78.8,94,90,15.41
Zapolyarnyy,RU,69.42,30.81,23.0,23.0,100,20,5.82
Grants,US,35.15,-107.85,39.2,39.2,25,1,8.05
Catabola,AO,-12.15,17.28,64.4,64.4,93,86,5.82
Sisimiut,GL,66.94,-53.67,32.86,32.86,94,100,10.0
Bandarbeyla,SO,9.49,50.81,86.58,86.58,45,1,8.21
Brainerd,US,46.36,-94.2,29.46,30.2,92,90,5.82
Samarai,PG,-10.62,150.67,80.71,80.71,82,10,10.13
Tessalit,ML,20.2,1.01,80.47,80.47,16,0,7.67
Vanavara,RU,60.34,102.28,29.89,29.89,94,100,5.35
San Rafael,AR,-34.62,-68.33,53.87,53.87,73,76,6.93
Taoudenni,ML,22.68,-3.98,75.9,75.9,19,0,7.31
Ville-Marie,CA,47.33,-79.43,32.0,32.0,95,90,12.75
Konëvo,RU,62.12,39.32,31.73,31.73,96,100,8.5
Mayor Pablo Lagerenza,PY,-19.93,-60.77,71.35,71.35,88,100,3.06
Matagami,CA,49.75,-77.63,26.6,26.6,100,75,2.24
Bay Roberts,CA,47.6,-53.26,58.98,60.01,97,100,11.99
Embonas,GR,36.23,27.86,69.55,71.01,82,40,0.67
Uthal,PK,25.81,66.62,92.68,92.68,9,0,0.83
Bam,IR,29.11,58.36,80.24,80.24,10,0,13.71
George Town,MY,5.41,100.34,88.45,89.6,59,40,6.93
Stuttgart,DE,48.78,9.18,48.45,48.99,93,100,1.12
Vaitape,PF,-16.52,-151.75,79.83,79.83,77,0,13.85
Mount Gambier,AU,-37.83,140.77,62.6,62.6,63,90,14.99
Camacha,PT,33.08,-16.33,64.4,64.4,77,20,10.29
Popondetta,PG,-8.75,148.25,82.17,82.17,70,100,3.78
Mersing,MY,2.43,103.84,89.6,89.6,66,40,8.05
Kano,NG,12.0,8.52,77.83,77.83,32,0,4.83
Guiyang,CN,26.58,106.72,62.6,62.6,55,75,13.42
Hamilton,US,39.18,-84.53,59.22,62.6,100,1,5.82
Huai Thalaeng,TH,15.0,102.65,78.53,80.01,88,75,6.93
Gorontalo,ID,0.54,123.06,87.53,87.53,51,6,6.85
Hwange,ZW,-18.37,26.5,90.45,90.45,15,0,10.65
Mpongwe,ZM,-13.51,28.16,82.98,82.98,29,0,9.35
Malakal,SS,9.53,31.66,84.18,84.18,63,93,5.14
Montevideo,UY,-34.83,-56.17,52.14,53.6,71,20,13.87
Iskateley,RU,67.68,53.15,26.67,26.67,97,16,12.17
Husavik,IS,66.04,-17.34,26.6,26.6,92,98,3.36
Neuquén,AR,-38.95,-68.06,60.8,60.8,44,0,16.11
Tazmalt,DZ,36.39,4.4,68.0,68.0,40,3,20.8
Maridi,SS,4.92,29.47,72.16,72.16,90,99,4.81
Maragogi,BR,-9.01,-35.22,75.06,75.06,86,100,7.92
Pangnirtung,CA,66.15,-65.71,21.9,21.9,93,93,3.44
Karcag,HU,47.32,20.93,44.98,48.99,93,100,3.36
Kalangala,UG,-0.31,32.23,71.6,71.6,83,75,9.17
Belyy Yar,RU,53.6,91.39,55.4,55.4,35,99,6.71
Larreynaga,NI,12.68,-86.57,73.27,73.27,93,100,1.45
Vytegra,RU,61.01,36.45,34.32,34.32,89,84,8.79
Tranås,SE,58.04,14.98,45.77,46.4,93,75,5.82
Călmăţuiu,RO,43.97,24.87,43.32,48.0,86,5,2.24
Nokaneng,BW,-19.67,22.27,86.14,86.14,13,0,7.67
Amapá,BR,1.0,-52.0,71.04,71.04,98,82,2.13
Cácota,CO,7.27,-72.64,52.68,52.68,91,100,1.95
Lagoa,PT,39.05,-27.98,62.96,62.96,70,58,22.7
Tutóia,BR,-2.76,-42.27,79.11,79.11,79,52,15.26
Ouahigouya,BF,13.58,-2.42,82.38,82.38,41,24,5.84
Beya,RU,53.05,90.91,54.3,54.3,45,100,0.94
Tiarei,PF,-17.53,-149.33,78.39,78.8,74,40,4.7
Kungurtug,RU,50.6,97.52,37.4,37.4,72,57,1.61
Alice Springs,AU,-23.7,133.88,80.6,80.6,47,75,27.51
Mtambile,TZ,-5.38,39.7,81.81,81.81,65,12,7.02
Laas,IT,46.62,10.7,43.29,48.99,100,40,4.7
Lhokseumawe,ID,5.18,97.15,85.17,85.17,69,30,6.62
Vermilion,US,40.17,-87.75,56.91,59.0,100,90,12.75
Bowen,AU,-20.02,148.23,84.2,84.2,45,0,14.99
Klenovyy,UA,48.12,39.46,46.53,46.53,56,0,7.81
Itum-Kale,RU,42.74,45.58,50.16,50.16,70,100,2.04
Makakilo City,US,21.35,-158.09,78.8,80.6,74,1,4.7
Lázaro Cárdenas,MX,17.96,-102.2,78.22,78.22,91,8,3.96
Feijó,BR,-8.16,-70.35,72.61,72.61,97,100,2.08
Nelson Bay,AU,-32.72,152.15,69.94,70.0,60,23,17.22
Jaú,BR,-22.3,-48.56,68.0,68.0,96,100,4.0
Chapais,CA,49.78,-74.85,32.0,32.0,98,90,3.36
Jalu,LY,29.03,21.55,67.64,67.64,62,0,10.78
Khāsh,IR,28.22,61.22,78.12,78.12,9,0,15.82
Cascais,PT,38.7,-9.42,59.9,61.0,87,20,3.36
Shādegān,IR,30.65,48.66,78.75,80.6,38,0,7.09
North Bend,US,43.41,-124.22,50.52,52.0,100,75,6.64
Bayan,CN,46.08,127.4,53.01,53.01,60,100,14.9
Yuncheng,CN,35.02,110.99,67.51,67.51,23,0,3.36
Bereket,TM,39.24,55.52,67.73,67.73,59,26,5.46
Antalaha,MG,-14.9,50.28,81.7,81.7,60,97,13.04
Marawi,PH,8.0,124.29,84.99,84.99,79,100,8.01
Prokuplje,RS,43.23,21.59,35.6,35.6,100,75,2.24
Havre-St-Pierre,CA,50.23,-63.6,35.6,35.6,93,1,10.29
Kosh-Agach,RU,50.0,88.67,42.71,42.71,52,44,2.01
Moerai,PF,-22.43,-151.33,77.4,77.4,83,100,5.64
Djenné,ML,13.91,-4.55,81.95,81.95,26,0,1.48
Marathon,US,44.9,-89.77,32.2,33.01,100,90,5.26
Homer,US,59.64,-151.55,34.92,41.0,65,0,11.01
Sorsk,RU,54.0,90.25,46.2,46.2,56,11,6.51
Poconé,BR,-16.26,-56.62,74.39,74.39,77,98,2.01
Province of Mantua,IT,45.17,10.78,48.69,48.99,96,70,3.6
Harper,LR,4.38,-7.72,77.41,77.41,83,100,3.44
Mogadishu,SO,2.04,45.34,84.2,84.2,66,40,12.75
Souillac,MU,-20.52,57.52,80.6,80.6,65,75,14.99
Ubari,LY,26.59,12.78,71.28,71.28,51,56,16.13
Baiyin,CN,36.56,104.21,57.2,57.2,22,0,4.47
Airai,TL,-8.93,125.41,76.62,76.62,49,40,3.44
Buraidah,SA,26.33,43.98,75.2,75.2,29,0,2.24
Okha,RU,53.57,142.95,45.68,45.68,73,100,13.38
Bagé,BR,-31.33,-54.11,59.0,59.0,87,90,13.87
Chifeng,CN,42.27,118.96,48.07,48.07,44,0,15.37
Ulladulla,AU,-35.35,150.47,69.69,71.6,60,93,11.41
Smolenka,RU,52.14,113.5,33.8,33.8,31,0,13.42
Quatre Cocos,MU,-20.21,57.76,80.82,81.0,65,75,14.99
Yarmouth,US,41.71,-70.23,61.65,63.0,100,90,4.23
Kosonsoy,UZ,41.26,71.55,64.4,64.4,39,0,4.7
Anadyr,RU,64.75,177.48,41.0,41.0,82,76,15.66
Porto Nacional,BR,-10.71,-48.42,78.8,78.8,69,40,2.24
Aquiraz,BR,-3.9,-38.39,78.8,78.8,78,40,11.41
Calabar,NG,4.95,8.32,76.73,76.73,89,100,1.59
Isugod,PH,9.34,118.12,82.94,82.94,80,100,11.43
Bagadó,CO,5.41,-76.42,73.18,73.18,92,100,0.74
Saint-Augustin,CA,51.23,-58.65,43.66,43.66,71,100,19.93
Mount Isa,AU,-20.73,139.5,102.2,102.2,11,75,6.93
Gurupi,BR,-11.73,-49.07,77.22,77.22,55,61,5.26
Aras,ES,42.56,-2.36,62.6,62.6,55,20,5.82
Malim,PH,7.45,123.43,82.85,82.85,78,45,8.7
Sirte,LY,31.21,16.59,72.28,72.28,50,98,6.6
Svetlaya,RU,46.54,138.33,54.3,54.3,79,100,15.43
Tabas,IR,33.6,56.92,68.0,68.0,11,0,2.24
Polson,US,47.69,-114.16,38.93,41.0,62,73,4.07
Kavieng,PG,-2.57,150.8,77.43,77.43,88,100,5.17
Río Gallegos,AR,-51.62,-69.22,41.0,41.0,65,100,14.99
Una,IN,20.82,71.03,91.09,91.09,56,94,1.34
Linxia Chengguanzhen,CN,35.6,103.21,60.39,60.39,29,0,3.44
Palana,RU,59.12,159.97,33.94,33.94,91,100,7.83
Diamantina,BR,-18.25,-43.6,59.02,59.02,100,100,1.21
Xiaoweizhai,CN,26.19,107.51,64.56,64.56,61,10,10.63
Heze,CN,35.24,115.44,69.48,69.48,21,0,13.24
Qasigiannguit,GL,68.82,-51.19,33.8,33.8,80,100,9.17
Trairi,BR,-3.28,-39.27,78.64,78.64,73,94,11.95
Jiayuguan City,CN,39.82,98.3,62.76,62.76,23,0,8.46
Mabaruma,GY,8.2,-59.78,75.58,75.58,96,46,2.71
Hof,DE,50.32,11.92,45.57,46.99,87,99,6.93
San Miguel de Tucumán,AR,-26.82,-65.22,62.6,62.6,93,90,5.82
Verkhovazh'ye,RU,60.75,42.05,32.68,32.68,93,100,10.2
Clarence Town,AU,-32.58,151.78,70.97,73.0,60,17,17.22
Jaqué,PA,7.52,-78.17,77.29,77.29,85,57,3.38
Marsá Maţrūḩ,EG,31.35,27.25,71.6,71.6,68,40,9.17
Lucapa,AO,-8.42,20.74,74.91,74.91,75,61,4.9
Nicoya,CR,10.15,-85.45,74.79,74.79,90,100,2.08
Matsuura,JP,33.33,129.72,76.08,78.8,47,75,10.29
Guerrero Negro,MX,27.98,-114.06,68.23,68.23,89,84,9.89
Aykhal,RU,66.0,111.5,8.6,8.6,84,90,2.24
Eau Claire,US,44.81,-91.5,33.35,34.0,98,90,3.36
Kovūr,IN,14.48,79.98,84.58,84.58,74,100,11.77
Cap-aux-Meules,CA,47.38,-61.86,46.29,46.29,78,100,23.98
Cootamundra,AU,-34.65,148.03,66.29,66.29,79,100,6.76
Sinnamary,GF,5.38,-52.95,78.58,78.58,84,100,9.73
Prince Rupert,CA,54.32,-130.32,39.2,39.2,100,75,5.82
Brasília de Minas,BR,-16.21,-44.43,66.11,66.11,93,96,3.67
Orlik,RU,52.52,99.83,30.65,30.65,84,5,3.98
Colares,PT,38.8,-9.45,59.88,61.0,87,20,3.36
Olafsvik,IS,64.89,-23.71,41.14,41.14,90,100,12.95
Canosa di Puglia,IT,41.22,16.07,53.17,57.99,87,5,1.12
Tucumã,BR,-0.18,-50.05,77.58,77.58,84,5,6.87
Ridge,US,40.89,-72.9,61.23,62.6,93,90,3.36
Nome,US,64.5,-165.41,38.23,41.0,86,90,6.93
Nauta,PE,-4.51,-73.58,74.5,74.5,89,95,1.48
Zhangaözen,KZ,43.3,52.8,54.21,54.21,47,100,9.86
Laguna,US,38.42,-121.42,62.37,64.0,59,1,0.89
Luangwa,ZM,-15.62,30.42,93.27,93.27,25,0,7.78
Port Keats,AU,-14.25,129.55,88.18,88.18,56,4,12.35
Tual,ID,-5.67,132.75,80.4,80.4,76,100,3.0
Tūkrah,LY,32.53,20.58,71.31,71.31,54,0,12.44
Minot,US,48.23,-101.3,25.93,26.6,73,90,17.22
Turukhansk,RU,65.82,87.98,24.51,24.51,98,100,13.67
Guarapari,BR,-20.67,-40.5,68.0,68.0,94,40,5.82
Calafell,ES,41.2,1.57,67.12,72.0,100,98,3.0
